BY/112 11.05. ТР013 045.01 01360	24.06.2022	Коммунальное проектное унитарное предприятие "Бресткоммунпроект"	проектная документация по объекту № 21.074 " Модернизация котельной по ул.Шевченко.6 в г. Ивацевичи с заменой двух устаревших котлов ДКВР-10/13 на энергоэффективные"	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 2, индекс 224005
BY/112 11.05. ТР013 045.01 01359	24.06.2022	Коммунальное проектное унитарное предприятие "Бресткоммунпроект"	проектная документация по объекту № 21.073 "Капитальный ремонт жилого дома № 10 по ул. Шевченко в г. Ивацевичи"	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 2, индекс 224005
BY/112 11.02. ТР013 045.01 01358	24.06.2022	Общество с дополнительной ответственностью "БЕЛСИЛОН"	трубы дренажные гофрированные безнапорные из непластифицированного поливинилхлорида PVC-U номинальным диаметром D100	И.А.Бортновская	Область Брестская, г. Брест, ул. Тереспольская, 22/1, индекс 224019
BY/112 11.05. ТР013 045.01 01357	24.06.2022	Общество с ограниченной ответственностью "Саныч"	проектная документация по объекту № 274.2021 «Капитальный ремонт жилого дома, расположенного по адресу: г. Молодечно, ул. Садовая, 8»	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоздецкого, 8,  307, индекс 224028
BY/112 11.05. ТР013 045.01 01356	23.06.2022	Дочернее республиканское унитарное предприятие "Госстройэкспертиза по Брестской области"	проектная документация по объекту № 09.21 «Реконструкция производственной базы Микашевичского участка Лунинецкого района газоснабжения ПУ «Пинскгаз» с выделением очередей строительства по адресу: Брестская обл., г. Микашевичи, ул. Садовая, 10»	И.А.Бортновская	Область Брестская, г. Брест, ул. Гродненская, 55, индекс 224028
BY/112 11.04. ТР013 045.01 01355	23.06.2022	Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства "Малоритское ЖКХ"	завершенное капитальным ремонтом здание многоквартирный жилой дом № 14 по ул. Лермонтова в г. Малорита	П.П.Радкович	Область Брестская, Район Малоритский, г. Малорита, ул. Советская, 116, индекс 225903
BY/112 11.04. ТР013 045.01 01354	23.06.2022	Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства "Малоритское ЖКХ"	завершенное капитальным ремонтом здание многоквартирный жилой дом № 12 по ул. Лермонтова в г. Малорита	П.П.Радкович	Область Брестская, Район Малоритский, г. Малорита, ул. Советская, 116, индекс 225903
BY/112 11.04. ТР013 045.01 01353	23.06.2022	Дочернее коммунальное унитарное предприятие по капитальному строительству "УКС города Бреста"	завершенное строительством здание ПНС № 10 в г. Бресте по ул. Гоголя, 81 	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 7/1, индекс 224030
BY/112 11.04. ТР013 045.01 01352	23.06.2022	Сельскохозяйственное унитарное предприятие "Савушкин - Луч"	завершенное строительством здание молочно-товарная ферма на 1200 голов южнее д.Угляны Здитовского сельсовета Березовского района. 1 пусковой комплекс	И.А.Бортновская	Область Брестская, г. Береза, ул. Советская, 80, индекс 225209
BY/112 11.05. ТР013 045.01 01351	22.06.2022	Общество с дополнительной ответственностью "Брестская инженерная группа"	проектная документация  по объекту № 09/20-21П «Благоустройство территории базы Домачевского УЭС по Комсомольская, 47Г в г.п. Домачево Брестского района»	П.П.Радкович	Область Брестская, г. Брест, ул. Карла Маркса, 33,  80, индекс 224005
BY/112 11.05. ТР013 045.01 01350	22.06.2022	Общество с дополнительной ответственностью "Брестская инженерная группа"	проектная документация  по объекту № 07/09-20П «Модернизация склада ГСМ, инв. № 100/С-3042, расположенного по адресу: Брестская область, Брестский район, Лыщицкий с/с, 20/10, склад ГСМ»	П.П.Радкович	Область Брестская, г. Брест, ул. Карла Маркса, 33,  80, индекс 224005
BY/112 11.05. ТР013 045.01 01349	22.06.2022	Общество с ограниченной ответственностью "Проектно-строительная группа Стройинжиниринг"	проектная документация по объекту № 102/21 «Строительство административного здания Копыльского лесничества Копыльского опытного лесхоза»	П.П.Радкович	Область Брестская, г. Брест, ул. Куйбышева, 13,  51, индекс 224016
BY/112 11.05. ТР013 045.01 01348	20.06.2022	Дочернее коммунальное унитарное предприятие по капитальному строительству "УКС Дрогичинского района"	проектная документация по объекту № 05/22 «Строительство водопроводной сети по улицам Ленина, Набережная, Советская, Комсомольская, Гагарина в аг. Новая Полина Дрогичинского района»	И.А.Бортновская	Область Брестская, г. Дрогичин, ул. Чкалова, 3, индекс 225612
BY/112 11.04. ТР013 045.01 01347	20.06.2022	Дочернее коммунальное унитарное предприятие по капитальному строительству "УКС города Бреста"	завершенное капитальным ремонтом помещение санузел на первом этаже изолированного помещения с инв. № 100-0-78963, расположенного по адресу: г. Брест, ул. Красногвардейская, 4-1-2, к нормам среды обитания физически ослабленных лиц	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 7/1, индекс 224030
BY/112 11.05. ТР013 045.01 01346	17.06.2022	Государственное унитарное производственное предприятие "Березовское ЖКХ"	проектная документация  по объекту № 15-18/86-22 «Капитальный ремонт ГРУ рег. № 26-53-0423 на котельной № 30 аг. Первомайская с заменой оборудования и газопроводов, отработавших нормативный срок службы»	Л.Д.Павлюкевич	Область Брестская, г. Береза, ул. Анатолия Ольшевского, 27А, индекс 225209
BY/112 11.05. ТР013 045.01 01345	17.06.2022	Государственное унитарное производственное предприятие "Березовское ЖКХ"	проектная документация  по объекту № 15-18/337-21 «Капитальный ремонт жилого дома № 46 по ул. Северный Городок в г. Берёза»	Л.Д.Павлюкевич	Область Брестская, г. Береза, ул. Анатолия Ольшевского, 27А, индекс 225209
