BY/112 04.14. ТР013 045.01 00246	0317600	22.11.2022	21.11.2027	СООО "Брестская строительная компания"	Совместное общество с ограниченной ответственностью "Брестская строительная компания"	Совместное общество с ограниченной ответственностью "Брестская строительная компания"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00245	0317593	01.11.2022	31.10.2027	Волковысское ООО "Промстройкомплект"	Волковысское общество с ограниченной ответственностью "Промстройкомплект"	Волковысское общество с ограниченной ответственностью "Промстройкомплект"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие штукатурные системы утепления, утепление цоколей, крыш и перекрытий
BY/112 04.14. ТР013 045.01 00244	0317589	31.10.2022	30.10.2027	УП "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00243	0317588	31.10.2022	30.10.2027	УП "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00242	0317587	31.10.2022	30.10.2027	УП "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00241	0317586	31.10.2022	30.10.2027	УП "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00240	0317585	31.10.2022	30.10.2027	УП "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Государственное унитарное строительное предприятие "Малоритская ПМК-20"	Выполнение работ по устройству оснований, фундаментов сооружений на основании из естественных грунтов
BY/112 04.14. ТР013 045.01 00239	0317584	28.10.2022	27.10.2027	ОАО "Слонимский водоканал"	Открытое акционерное общество "Слонимский водоканал"	ОАО "Слонимский водоканал"	Выполнение работ по монтажу наружных сетей и сооружений  водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00238	0317583	28.10.2022	27.10.2027	ОАО "Слонимский водоканал"	Открытое акционерное общество "Слонимский водоканал"	ОАО "Слонимский водоканал"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00237	0317582	28.10.2022	27.10.2027	ОАО "Слонимский водоканал"	Открытое акционерное общество "Слонимский водоканал"	ОАО "Слонимский водоканал"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная)
BY/112 04.14. ТР013 045.01 00236	0317577	24.10.2022	23.10.2027	ОАО "Кобринский ССК"	Открытое акционерное общество "Кобринский ССК"	Открытое акционерное общество "Кобринский ССК"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00235	0317562	05.10.2022	04.10.2027	Малоритское ЖКХ	Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства "Малоритское ЖКХ"	Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства "Малоритское ЖКХ"	Выполнение работ по монтажу наружных сетей и сооружений  водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00234	0317560	03.10.2022	09.08.2026	ООО "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит  
BY/112 04.14. ТР013 045.01 00233	0317559	03.10.2022	09.08.2026	ООО "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00232	0317558	03.10.2022	02.10.2027	ООО "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00231	0317557	03.10.2022	02.10.2027	ООО "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия, мастичные, шпатлевочные и наливные покрытия, гуммировочные покрытия (из жидких резиновых смесей, из листовых материалов), оклеечные покрытия, облицовочные и футеровочные покрытия
BY/112 04.14. ТР013 045.01 00230	0317556	03.10.2022	02.10.2027	ООО "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Общество с ограниченной ответственностью "АмберСтройМонтаж"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
